lng,lat
115.94453,28.651165
115.94453,28.651152
115.94457,28.65114
115.9446,28.651127
115.94464,28.651117
115.944695,28.651106
115.944756,28.65109
115.94482,28.651072
115.94488,28.65105
115.94494,28.65103
115.945,28.651007
115.94507,28.650982
115.945145,28.650955
115.94521,28.650925
115.94529,28.65089
115.94537,28.650856
115.94545,28.650818
115.94554,28.65078
115.945625,28.650742
115.9457,28.650703
115.945786,28.650665
115.94594,28.650599
115.94603,28.650562
115.94611,28.650526
115.946205,28.650488
115.9463,28.650448
115.946396,28.650406
115.946495,28.650366
115.946594,28.65032
115.9467,28.650278
115.94681,28.650236
115.946915,28.650192
115.94702,28.650146
115.94713,28.650097
115.947235,28.650047
115.94735,28.649996
115.94746,28.649944
115.94756,28.649895
115.94767,28.649843
115.94777,28.649794
115.94787,28.649746
115.94797,28.649694
115.94807,28.64964
115.948166,28.64959
115.948265,28.649538
115.94837,28.64949
115.94848,28.649445
115.948586,28.6494
115.948685,28.649353
115.948784,28.649305
115.94889,28.649256
115.94899,28.649208
115.9491,28.64916
115.949196,28.649113
115.949295,28.649065
115.9494,28.649015
115.94951,28.64897
115.94961,28.64892
115.949715,28.648872
115.94982,28.648827
115.94993,28.64878
115.950035,28.648733
115.95015,28.648684
115.95026,28.648636
115.95037,28.648588
115.95048,28.64854
115.950584,28.648495
115.9507,28.648445
115.950806,28.648401
115.95091,28.648357
115.95102,28.64831
115.951126,28.648266
115.95123,28.648226
115.95134,28.648186
115.95144,28.64814
115.951546,28.648096
115.95164,28.648052
115.95174,28.648012
115.95183,28.647978
115.951904,28.647945
115.95198,28.647917
115.95204,28.647886
115.9521,28.647858
115.95216,28.647837
115.95221,28.647816
115.95225,28.647797
115.952286,28.647785
115.9523,28.647776
115.95232,28.647768
115.952324,28.647764
115.95233,28.647762
115.95233,28.647764
115.95233,28.647766
115.952324,28.64777
115.952324,28.647772
115.95232,28.647774
115.95233,28.647757
115.95236,28.647743
115.9524,28.647728
115.952484,28.647697
115.95253,28.647678
115.95258,28.64766
115.952644,28.64765
115.952705,28.64765
115.95277,28.647657
115.95283,28.64767
115.95289,28.647696
115.95295,28.647724
115.953,28.647762
115.95305,28.64781
115.95308,28.64787
115.95311,28.64794
115.95314,28.648014
115.95318,28.64809
115.9532,28.648172
115.95326,28.64834
115.95329,28.64843
115.95332,28.648525
115.953354,28.648626
115.9534,28.648733
115.95343,28.64884
115.95347,28.648949
115.95351,28.649055
115.953545,28.649166
115.95358,28.649275
115.95362,28.649385
115.95366,28.649492
115.953705,28.649601
115.95375,28.649714
115.95379,28.649824
115.953835,28.64994
115.95388,28.650055
115.953926,28.65017
115.95397,28.650284
115.95401,28.65039
115.95405,28.6505
115.954094,28.65061
115.95414,28.650717
115.95418,28.650826
115.954216,28.650938
115.954254,28.651052
115.95429,28.651169
115.95434,28.651285
115.954384,28.651405
115.95443,28.651525
115.95448,28.65165
115.95453,28.65177
115.95458,28.651896
115.954636,28.652021
115.95468,28.652147
115.954735,28.652279
115.95479,28.652407
115.95484,28.652534
115.954895,28.652664
115.95495,28.652796
115.955,28.652925
